ITEM,SETOR,NUP,EMPRESA,VALOR,COMPETENCIA,CONTRATO,VENCIMENTO_CONTRATO,NOTA_PATRIMONIAL,PARCELA,ITEM_DESPESA,FONTE,NATUREZA_DE_DESPESA,RECURSO,P_A,NUMERO_EMPENHO,IMPOSTO_DE_RENDA,IMPOSTO_ISS,INSS,DATA_PAGAMENTO,VALOR_LIQUIDO,N_DA_LIQUIDAO,Unnamed_30
368,FARMACIA,24001.019002/2025-97,BELIEVE FARMA,15171.0,2025-03-01,OC,2025-06-02 00:00:00.000000000,323,734.0,1874,FAE,339030,Não Informado,,,,,,,,,
369,FARMACIA,24001.019474/2025-40,CAZI QUIMICA,1440.0,2025-03-01,OC,2026-01-22 00:00:00.000000000,323,734.0,1874,FAE,339030,Produção,82585,2025NE000513,"R$ 17,28",XXX,XXX,2025-05-07 00:00:00,"R$ 1.422,72",2025NL000932,
370,FARMACIA,24001.019453/2025-24,EMMARKA,23351.0,2025-03-01,OC,2025-04-02 00:00:00.000000000,323,724.0,9881,FAE,339030,Produção,81882,,IMPRESSO,,,,,,
371,CMMH,24001.019223/2025-65,B BRAUN,5302.0,2025-03-01,OC,,,,Não Informado,Não Informado,Não Informado,Não Informado,,,,,,,,,
372,FARMACIA,24001.019469/2025-37,UNIAO QUIMICA,3990.0,2025-03-01,OC,2025-05-15 00:00:00.000000000,323,734.0,1874,FAE,339030,Produção ,,,IMPRESSO,,,,,,
373,ALMOXARIFADO,24001.020273/2025-95,ICLEANPRO,50700.0,2025-03-01,1699/2024,2025-06-04 00:00:00.000000000,298,709.0,1882,TESOURO,339030,T/500,,,IMPRESSO,,,,,,
NP 435,Não Informado,,Não Informado,,,Não Informado,,,,Não Informado,Não Informado,Não Informado,Não Informado,,,,,,,,,
374,FARMACIA,24001.018900/2025-28,EMMARKA,2689584.0,2025-03-01,OC,2026-02-27 00:00:00.000000000,463,757.0,1874,TESOURO,339030,T/500,T/500,,IMPRESSO,,,,,,
375,EXAMES,24001.020309/2025-31,GASPAR VIANA,397797.0,2025-01-01,1034/2021,2025-12-16 00:00:00.000000000,298,634.0,2192,TESOURO,339039,T/500,T/500,2025NE000437,"R$47,74","R$119,34",XXX,2025-03-31 00:00:00,"R$3.810,89",2025NL000615,
376,EXAMES,24001.020341/2025-16,GASPAR VIANA,2620.0,2025-01-01,1143/2019,2025-10-29 00:00:00.000000000,298,634.0,2192,TESOURO,339039,T/500,T/500,2025NE000435,"R$31,44","R$78,60",XXX,2025-03-28 00:00:00,"R$2.509,96",2025NL000601,
377,EXAMES,24001.019871/2025-11,GASPAR VIANA,645193.0,2025-01-01,122/2022,2026-03-14 00:00:00.000000000,298,634.0,2192,TESOURO,339039,T/500,T/500,2025NE000438,"R$77,42","R$193,56",XXX,2025-03-28 00:00:00,"R$6.180,95",2025NL000598,
378,EXAMES,24001.019913/2025-14,GASPAR VIANA,424276.0,2025-01-01,402/2022,2025-07-05 00:00:00.000000000,298,634.0,2192,TESOURO,339039,T/500,T/500,2025NE000436,"R$50,91","R$127,28",XXX,2025-03-31 00:00:00,"R$4.064,57",2025NL000614,
379,EXAMES,24001.020059/2025-39,GASPAR VIANA,434878.0,2025-01-01,516/2022,2025-07-27 00:00:00.000000000,298,634.0,2192,TESOURO,339039,T/500,T/500,2025NE000439,"R$52,19","R$130,46",XXX,2025-03-28 00:00:00,"R$4.166,13",2025NL000600,
380,CMMH,24001.019561/2025-05,SUPERFIO,2936.0,2025-03-01,OC,2025-06-12 00:00:00.000000000,323,733.0,1895,FAE,339030,Produção,80772,2025NE000503,"R$35,23",XX,XXX,2025-04-03 00:00:00,"R$2.900,77",2025NL000503,
381,ALMOXARIFADO,24001.012657/2025-34,ANTONIA CLAUDIA CEDRO,14000.0,2025-02-01,OC,,323,726.0,1883,FAE,339030,PRODUÇÃO,83290,2025NE000482,"R$ 168,00",XXX,XXX,2025-05-16 00:00:00,"R$ 13.832,00",N2025NL001039,
382,EXAMES,24001.019463/2025-60,DNA,21.92016,2025-01-01,118/2022,2026-03-14 00:00:00.000000000,323,645.0,2192,FAE,339039,Não Informado,,,,,,,,,
383,TRANSPORTE,24001.021079/2025-27,PRIME,10903007.0,2025-02-01,775/2024,,323,644.0,2229,FAE,339039,Produção,80813,2025NE000478,"R$3.600,00","R$5.254,80",X,2025-04-04 00:00:00,"R$100.175,27",2025NL000664,
384,EXAMES,24001.021629/2025-16,MARIA HELENA,72582.0,2025-01-01,243/2019,2024-03-21 00:00:00.000000000,270,633.0,2192,FAE,339039,Produção,80378,2025NE000423,"R$8,71","R$21,77",XXX,2025-03-28 00:00:00,"R$695,34",2025NL000595,
385,EXAMES,24001.021660/2025-49,MARIA HELENA,10699.0,2025-02-01,243/2019,2024-03-21 00:00:00.000000000,270,633.0,2192,FAE,339039,Produção,80376,2025NE000424,"R$12,84","R$32,10",XXX,2025-03-28 00:00:00,"R$1.024,96",2025NL000596,
385,EXAMES,24001.021671/2025-29,MARIA HELENA,32097.0,2025-03-01,243/2019,2024-03-21 00:00:00.000000000,270,633.0,2192,FAE,339039,PORT 6.426,84929,2025NE000425,,,,,,,
386,EXAMES,24001.021794/2025-60,OMNIMAGEM,25660596.0,2025-01-01,1344/2023,2025-12-19 00:00:00.000000000,435,664.0,2192,FAE,339039,Produção,81381,2025NE000622,,,,,,,
387,EXAMES,24001.020990/2025-17,COOPNEURO,6020.0,2025-02-01,510/2023,2025-06-22 00:00:00.000000000,323,638.0,2192,FAE,339039,Produção,80619,2025NE000470,"R$90,30",X,X,2025-04-01 00:00:00,"R$5.929,70",2025NL000625,
388,EXAMES,24001.021035/2025-05,COOPNEURO,62345.0,2025-02-01,1170/2019,2025-10-23 00:00:00.000000000,323,639.0,2192,FAE,339039,Produção,80809,2025NE000474,"R$935,18",X,X,2025-04-04 00:00:00,"R$61.409,82",2025NL000662,
389,EXAMES,24001.021862/2025-91,COOPEND,3623176.0,2025-02-01,133/2025,2026-02-17 00:00:00.000000000,323,641.0,2192,FAE,339039,Produção,80698,2025NE000472,"R$543,48",X,X,2025-04-02 00:00:00,"R$35.688,28",2025NL000637,
390,EXAMES,24001.021839/2025-04,COOPEND,3895753.0,2025-02-01,1087/2024,2025-07-31 00:00:00.000000000,323,640.0,2192,FAE,339039,Produção,80700,2025NL000473,"R$584,36",X,X,2025-04-02 00:00:00,"R$38.373,17",2025NL000636,
391,ALMOXARIFADO,24001.021796/2025-59,NORCLEAN,8670.0,2025-03-01,OC,2026-02-04 00:00:00.000000000,435,740.0,1882,FAE,339030,Produção,82150,,IMPRESSO,,,,,,
392,ALMOXARIFADO,24001.020317/2025-87,J.V. MAXIMUS,189175.0,2025-03-01,OC,2025-07-11 00:00:00.000000000,323,725.0,1882,FAE,339030,Produção,81146,2025NE000489,,,,,,,
393,CMMH,24001.004703/2025-21,PLENAMED,8694.0,2025-03-01,OC,,323,715.0,1895,FAE,339030,Produção,80575,2025NE000456,"R$104,33",XXX,XXX,2025-04-01 00:00:00,"R$8.589,67",2025NL000619,
394,CEDIM,24001.022348/2025-72,SAPRA LANDAUER,269.0,2025-01-01,914/2022,2025-12-17 00:00:00.000000000,323,646.0,2163,FAE,339039,Produção,80768,2025NE000494,"R$12,91",XXX,XXX,2025-04-03 00:00:00,"R$256,09",2025NL000651,
395,EXAMES,24001.019786/2025-53,CARDIOEXATA,549045.0,2025-02-01,1290/2024,,323,636.0,2192,FAE,339039,Produção,80422,2025NE000467,"R$823,57","R$1.647,14",XXX,2025-03-28 00:00:00,"R$52.433,79",2025NL000602,
396,INFORMATICA,24001.022646/2025-62,SIMPRESS,6551692.0,2025-02-01,1117/2023,2025-10-27 00:00:00.000000000,323,59.0,Não Informado,Não Informado,Não Informado,Produção,80696,2025NE000497,"R$3.144,81",XXX,XXX,2025-04-03 00:00:00,"R$62.372,11",2025NL000648,
397,CMMH,24001.021653/2025-47,CEI COMERCIO,1200.0,2025-03-01,OC,2025-08-22 00:00:00.000000000,323,729.0,1895,FAE,339030,Produção,81277,2025NE000506,,,,,,,
398,CMMH,24001.022100/2025-10,POINT SUTURE,12528.0,2025-03-01,OC,2025-12-11 00:00:00.000000000,323,729.0,1895,FAE,339030,Produção,81184,2025NE509,,,,,,,
399,CMMH,24001.022109/2025-12,MOGI MEDICAL,27024.0,2025-03-01,OC,2025-12-11 00:00:00.000000000,323,729.0,1895,FAE,339030,PRODUÇÃO,81450,2025NE000514,"R$ 32,43",XXX,XXX,2025-05-28 00:00:00,"R$ 2.669,97",2025NL001122,
400,ALMOXARIFADO,24001.022433/2025-31,GMS JAMPA,5792.0,2025-03-01,OC,2026-03-17 00:00:00.000000000,323,725.0,1882,FAE,339030,PRODUÇÃO,87569,,,,,,,,
401,FARMACIA,24001.019039/2025-15,T S COMERCIAL,46431.0,2025-03-01,OC,2025-07-25 00:00:00.000000000,323,734.0,1874,FAE,339030,Produção,84308,2025NE000516,"R$ 5,52",XXX,XXX,2025-05-30 00:00:00,"R$ 454,10",2025NL001154,
402,EXAMES,24001.022059/2025-73,MARIA HELENA,2507524.0,2025-01-01,1118/2021,,323,647.0,2192,FAE,339039,Produção,81007,2025NE000493,"R$300,90","R$752,26",XXX,2025-04-09 00:00:00,"R$24.022,08",2025NL000690,
403,EXAMES,24001.021256/2025-75,COOPNEURO,18400.0,2025-02-01,1235/2024,,323,637.0,2192,FAE,339039,Produção,80701,2025NE000469,"R$276,00",X,X,2025-04-02 00:00:00,"R$18.124,00",2025NL000635,
404,EXAMES,24001.023626/2025-17,OMNIMAGEM,14750.0,2025-02-01,1298/2023,2025-12-20 00:00:00.000000000,435,664.0,2192,FAE,339039,Produção,81579,2025NE000623,,,,,,,
405,EXAMES,24001.019772/2025-30,SOMED,1824282.0,2025-02-01,700/2020,2025-08-06 00:00:00.000000000,TESOURO,656.0,2156,TESOURO,339039,Não Informado,,,,,,,,,
406,EXAMES,24001.022233/2025-88,MARIA HELENA,930208.0,2025-01-01,1122/2021,2025-12-14 00:00:00.000000000,435,664.0,2192,FAE,339039,Produção,81703,2025NE000703,,,,,,,
407,ALMOXARIFADO,24001.023046/2025-11,J.V. MAXIMUS,2032.0,2025-03-01,OC,2025-06-18 00:00:00.000000000,323,731.0,1882,FAE,339030,Produção,81944,,IMPRESSO,,,,,,
408,MANUTENÇÃO,24001.023685/2025-87,K G CONSTRUÇÕES,2325252.0,2025-03-01,1400/2024,,382,653.0,2166,TESOURO,339039,Não Informado,,,,,,,,,
409,EXAMES,24001.023779/2025-56,NUCLEO IMAGEM,53525.0,2025-02-01,669/2021,2025-09-09 00:00:00.000000000,435,664.0,2192,FAE,339039,Não Informado,81586,2025NE000633,,,,,,,
410,SESMT,24001.023807/2025-35,BARRETO EXTINTORES,8351.0,2025-03-01,1531/2024,2025-11-06 00:00:00.000000000,NP,,Não Informado,Não Informado,Não Informado,Não Informado,,20256NE000797,SIMP.NAC,XXX,XXX,2025-05-07 00:00:00,"R$ 8.351,00",2025NL000947,
411,ALMOXARIFADO,24001.023047/2025-66,F C COMERCIO,15960.0,2025-03-01,OC,2025-04-24 00:00:00.000000000,435,744.0,1885,SUS,339030,Não Informado,,,,,,,,,
412,EXAMES, 24001.016891/2024-50,CENTRO DE ESTOMATOLOGIA,5335.0,,1311/2020,,NP,,Não Informado,Não Informado,Não Informado,Produção ,81322,,,,,,,,
413,MANUTENÇÃO,24001.023827/2025-14,LOCMED,48476.0,,863/2020,,776,,Não Informado,Não Informado,Não Informado,PRODUÇÃO,85333,2025NE001262,,,,,,,
414,CMMH,24001.021330/2025-53,MEDIMAC COMERCIO,700.0,2025-03-01,OC,2025-10-27 00:00:00.000000000,382,738.0,339030,TESOURO,Não Informado,T/500,T/500,,IMPRESSO,,,,,,
415,CEDIM,24001.023873/2025-13,SAPRA LANDAUER,269.0,2025-02-01,914/2022,2025-12-17 00:00:00.000000000,435,665.0,2163,FAE,339039,Produção,81809,2025NE000640,,,,,,,
416,EXAMES,24001.021513/2025-79,MFAB PONTE,1229.0,2025-02-01,742/2022,2025-10-10 00:00:00.000000000,323,649.0,2191,FAE,339039,Não Informado,80722,2025NE000520,"R$26,67",X,X,2025-04-02 00:00:00,"R$1.202,33",2025NL000641,
417,CMMH,24001.024023/2025-24,SURGICALLMED,690.0,2025-03-01,1454/2024,2025-11-02 00:00:00.000000000,382,738.0,339030,TESOURO,Não Informado,T/500,T/500,,,,,,,,
418,CMMH,24001.023709/2025-06,PORTO 71 IMPORTACAO,6780.0,2025-03-01,OC,2025-12-10 00:00:00.000000000,382,738.0,339030,TESOURO,Não Informado,T/500,T/500,,,,,,,,
419,EXAMES,24001.021569/2025-23,CENTRO DE ESTOMATOLOGIA,1920.0,2025-02-01,726/2024,,TESOURO,656.0,2156,TESOURO,339039,T/500,T/500,,,,,,,,
420,CMMH,24001.023663/2025-17,BRASILMED,14500.0,2025-03-01,OC,2026-03-11 00:00:00.000000000,382,738.0,339030,TESOURO,Não Informado,T/500,T/500,,,,,,,,
421,EXAMES,24001.023602/2025-50,MENDELICS,19200.0,2025-02-01,384/2024,2025-06-03 00:00:00.000000000,435,664.0,2192,FAE,339039,PRODUÇÃO,82653,2025NE000630,"R$ 288,00",XXX,XXX,2025-05-08 00:00:00,"R$ 18.912,00",2025NL000958,
422,MANUTENÇÃO,24001.024226/2025-11,LOCMED,9840.0,,944/2020,,776,,Não Informado,Não Informado,Não Informado,PRODUÇÃO,85335,2025NE001263,,,,,,,
423,EXAMES, 24001.024557/2025-51,OMNIMAGEM,25910407.0,2025-02-01,1344/2023,2025-12-19 00:00:00.000000000,604,691.0,2192,SUS,339039,PRODUÇÃO,83367,2025NE000905,"R$ 3.109,25","R$ 7.773,12",XXX,2025-05-20 00:00:00,"R$ 248.221,70",2025NL001051,
424,EXAMES, 24001.024645/2025-52,DAVITA,32494368.0,2025-02-01,1130/2020,2025-10-19 00:00:00.000000000,604,691.0,2192,SUS,339039,PRODUÇÃO,83364,2025NE000906,"R$ 3.899,32","R$ 9.748,31",XXX,2025-05-20 00:00:00,"R$ 311.296,05",205NL001053,
425,EXAMES,24001.024657/2025-87,DAVITA,10739664.0,2025-02-01,1130/2020,2025-10-19 00:00:00.000000000,604,691.0,2192,SUS,339039,Não Informado,,,,,,,,,
426,EXAMES,24001.025009/2025-48,COAPH,6192966.0,2025-02-01,1287/2023,2025-12-19 00:00:00.000000000,435,660.0,2211,SUS,339039,Produção,82315,,,,,,,,
427,CMMH,24001.025159/2025-51,ENFERMED,3153538.0,2025-03-01,268/2024,2025-04-15 00:00:00.000000000,TESOURO,,Não Informado,Não Informado,Não Informado,Não Informado,,,,,,,,,
428,EXAMES,24001.024512/2025-86,OMNIMAGEM,2545802.0,2025-02-01,1073/2023,2025-12-15 00:00:00.000000000,567,682.0,2192,FAE,339039,PRODUÇÃO,83024,2025NE000794,"R$305,50","R$763,74",XXX,2025-05-13 00:00:00,"R$24.388,78",2025NL000994,
429,TRANSPORTE,24001.025141/2025-50,AGATHA,1462922.0,2025-03-01,1188/2021,2025-12-05 00:00:00.000000000,435,659.0,339039,FAE,339039,Não Informado,81588,2025NE000610,,,,,,,
430,EXAMES,24001.023112/2025-53,SONIA MARIA,4396.0,2025-01-01,239/2022,2025-05-02 00:00:00.000000000,TESOURO,655.0,2156,TESOURO,339039,T/500,T/500,,,,,,,,
431,EXAMES,24001.023130/2025-35,SONIA MARIA,4396.0,2025-02-01,239/2022,2025-05-02 00:00:00.000000000,435,664.0,2192,FAE,339039,Não Informado,81529,2025NE000625,,,,,,,
432,CMMH,24001.024388/2025-59,OLIDEF CZ IND,10500.0,2025-03-01,OC,2025-06-06 00:00:00.000000000,382,738.0,339030,TESOURO,Não Informado,T/500,T/500,,IMPRESSO,,,,,,
433,CMMH,24001.024385/2025-15,NEKTAR COMERCIO,49000.0,2025-03-01,OC,2026-06-27 00:00:00.000000000,382,736.0,339030,TESOURO,Não Informado,T/500,T/500,2025NE000551,"R$ 588,00",XXX,XXX,2025-05-14 00:00:00,"R$ 48.412,00",2025NL0001025,
434,CMMH,24001.024121/2025-61,HP BIOPROTESES,18720.0,2025-03-01,OC,2025-12-27 00:00:00.000000000,382,736.0,339030,TESOURO,Não Informado,T/500,T/500,,IMPRESSO,,,,,,
435,CMMH,24001.024119/2025-92,PANORAMA,8372.0,2025-03-01,OC,2025-12-18 00:00:00.000000000,382,736.0,339030,TESOURO,Não Informado,T/500,T/500,,IMPRESSO,,,,,,
436,CMMH,24001.024384/2025-71,MAGNA INDUSTRIA,5916.0,2025-03-01,OC,2026-01-30 00:00:00.000000000,382,736.0,339030,TESOURO,Não Informado,T/500,T/500,,,,,,,,
437,MANUTENÇÃO,24001.025123/2025-78,STARC,16762.0,2025-03-01,1120/2024,,TESOURO,655.0,2156,TESOURO,339039,T/500,T/500,,,,,,,,
438,MANUTENÇÃO,24001.025191/2025-37,PROEL,183452.0,2025-03-01,1077/2020,2025-09-26 00:00:00.000000000,TESOURO,655.0,2156,TESOURO,339039,T/500,T/500,2025NE000569,"R$88,06","R$91,73",XXX,2025-04-10 00:00:00,"R$1.654,73",2025NL000726,
439,MANUTENÇÃO,24001.025161/2025-21,INCOMED,324669.0,2025-03-01,70/2021,2026-02-22 00:00:00.000000000,TESOURO,655.0,2156,TESOURO,339039,T/500,T/500,,,,,,,,
440,MANUTENÇÃO,24001.025209/2025-09,CEGAS,1829325.0,2025-03-01,359/2023,,382,738.0,339030,TESOURO,Não Informado,T/500,T/500,,,,,,,,
441,MANUTENÇÃO,24001.025195/2025-15,PROEL,11250.0,2025-03-01,1005/2023,,TESOURO,655.0,2156,TESOURO,339039,T/500,T/500,2025NE000568,"R$540,00","R$562,50",XXX,2025-04-10 00:00:00,"R$10.147,50",2025NL000727,
442,MANUTENÇÃO,24001.025398/2025-10,TK ELEVADORES,500651.0,2025-03-01,1114/2024,,428,643.0,2156,TESOURO,339039,T/500,T/500,,,,,,,,
443,MANUTENÇÃO,24001.025223/2025-02,CR OXIGENIO,476528.0,2025-03-01,185/2022,2026-05-28 00:00:00.000000000,435,658.0,2156,FAE,339039,Não Informado,81587,2025NE000621,,,,,,,
444,MANUTENÇÃO,24001.025479/2025-10,MATMED,2753065.0,2025-03-01,330/2024,2025-05-09 00:00:00.000000000,435,665.0,2163,fae,339039,Não Informado,81577,2025NE000639,,,,,,,
445,MANUTENÇÃO,24001.025466/2025-32,PROJETUB,11625.0,2025-03-01,293/2019,2025-04-12 00:00:00.000000000,382,654.0,2156,TESOURO,339039,T/500,T/500,,,,,,,,
446,MANUTENÇÃO,24001.025508/2025-35,DIOTEC,15180.0,2025-03-01,749/2024,2025-08-01 00:00:00.000000000,435,745.0,2156,FAE,339039,Não Informado,81647,2025NE000619,,,,,,,
447,MANUTENÇÃO,24001.025799/2025-61,MACNOR,4900.0,2025-03-01,1247/2020,2025-11-10 00:00:00.000000000,NP,,Não Informado,Não Informado,Não Informado,Não Informado,,,,,,,,,
448,MANUTENÇÃO, 24001.025865/2025-01,ANTONIO COLAÇO,1169896.0,2025-03-01,975/2022,2025-12-13 00:00:00.000000000,428,635.0,2083,TESOURO,339036,T/500,T/500,,,,,,,,
449,MANUTENÇÃO,24001.025864/2025-59,MARIA NORMA,350896.0,2025-03-01,616/2019,2025-08-01 00:00:00.000000000,428,635.0,2083,TESOURO,339036,T/500,T/500,,,,,,,,
450,TRANSPORTE,24001.025957/2025-83,UNI SOS,138900.0,2025-03-01,Não Informado,,483,669.0,2229,FAE,339039,Produção,82189,,,,,,,,
451,MANUTENÇÃO,24001.025903/2025-18,GE ENGENHARIA,3628239.0,2025-03-01,1049/2023,2024-10-09 00:00:00.000000000,TESOURO,,Não Informado,Não Informado,Não Informado,T/500,T/500,2025NE000536,XXX,"R$1.531,12",XXX,2025-04-08 00:00:00,"R$34.751,27",2025NL000688,
452,INFORMATICA, 24001.025836/2025-31,MGL,1143774.0,2025-03-01,1041/2022,2025-12-28 00:00:00.000000000,435,60.0,3082,FAE,339040,PORT 6.426,84927,2025NE000634,,,,,,,
453,MANUTENÇÃO,24001.025829/2025-30,SOLUÇÃO MOVEIS,46260.0,2025-03-01,1116/2024,2025-08-01 00:00:00.000000000,435,658.0,2156,FAE,339039,Não Informado,81549,2025NE000611,,,,,,,
454,SAME,24001.025891/2025-21,MRH,1998912.0,2025-03-01,944/2022,2025-12-21 00:00:00.000000000,435,662.0,2173,FAE,339039,Não Informado,81719,2025NE000617,,,,,,,
455,MANUTENÇÃO,24001.025818/2025-50,LOCMED,8021.0,2025-03-01,1409/2024,2025-10-23 00:00:00.000000000,435,665.0,2163,fae,339039,Não Informado,81576,2025NE000638,,,,,,,
456,MANUTENÇÃO, 24001.025812/2025-82,LOCMED,42000.0,2025-03-01,286/2024,2025-05-23 00:00:00.000000000,435,665.0,2163,fae,339039,Não Informado,81578,2025NE000641,,,,,,,
457,APLV,24001.025142/2025-02,GOLD NUTRI,466800.0,2025-04-01,OC,,575,41.0,2258,FAE,339030,Produção ,82646,2025NE000744,"R$ 5.601,60",XXX,XXX,2025-05-13 00:00:00,"R$ 461.198,40",2025NL000983,
458,APLV,24001.025173/2025-55,ART MEDICA,1044000.0,2025-04-01,OC,2024-10-16 00:00:00.000000000,428,40.0,2258,TESOURO,339030,T/500,T/500,,IMPRESSO,,,,,,
459,APLV,24001.025157/2025-62,ART MEDICA,7580832.0,2025-04-01,OC,2025-09-18 00:00:00.000000000,428,40.0,2258,TESOURO,339030,T/500,T/500,,IMPRESSO,,,,,,
460,ALMOXARIFADO,24001.025640/2025-47,GMS JAMPA,8430.0,2025-04-01,OC,2026-03-17 00:00:00.000000000,435,740.0,1882,FAE,339030,produção,87574,,,,,,,,
461,ALMOXARIFADO,24001.025643/2025-81,NORCLEAN,108675.0,2025-04-01,OC,2026-02-04 00:00:00.000000000,435,740.0,1882,FAE,339030,Produção,81942,,IMPRESSO,,,,,,
462,ALMOXARIFADO,24001.025641/2025-91,J.V. MAXIMUS,78237.0,2025-04-01,OC,2025-06-18 00:00:00.000000000,435,740.0,1882,FAE,339030,Produção,82696,2025NE000600,"R$ 93,88",XXX,XXX,2025-05-08 00:00:00,"R$ 7.729,82",2025NL000959,
463,ALMOXARIFADO,24001.025639/2025-12,AMPLA MASTER,41970.0,2025-04-01,OC,2026-03-17 00:00:00.000000000,435,740.0,1882,FAE,339030,PORT 6.426,84914,2025NE000592,,,,,,,
464,CMMH,24001.025061/2025-02,POLYSUTURE,20808.0,2025-04-01,OC,2026-02-11 00:00:00.000000000,382,736.0,1895,TESOURO,339030,T/500,T/500,,IMPRESSO,,,,,,
465,NUTRIÇÃO,24001.025035/2025-76,ART MEDICA,28008.0,2025-04-01,OC,2025-09-19 00:00:00.000000000,435,742.0,1872,FAE,339030,PRODUÇÃO,82733,2025NE000596,"R$336,10",XXX,XXX,2025-05-08 00:00:00,"R$27.671,90",2025NL000967,
466,ALMOXARIFADO,24001.025255/2025-08,VITTAFLEX,214425.0,2025-04-01,OC,2025-12-17 00:00:00.000000000,435,741.0,1895,FAE,339030,PRODUÇÃO,87372,,,,,,,,
467,CMMH,24001.024383/2025-26,POOLTEX,37043.0,2025-04-01,OC,2026-02-16 00:00:00.000000000,428,739.0,1895,TESOURO,339030,T/500,T/500,,IMPRESSO,,,,,,
468,CMMH,24001.026161/2025-48,SURGICALLMED,1190.0,2025-04-01,1454/2024,2025-11-02 00:00:00.000000000,382,736.0,339030,TESOURO,Não Informado,T/500,T/500,,,,,,,,
469,MANUTENÇÃO,24001.025964/2025-85,AMED,13999.0,2025-03-01,69/2021,2026-02-18 00:00:00.000000000,TESOURO,655.0,2156,TESOURO,339039,T/500,T/500,2025NE000566,"R$699,95",XX,XX,2025-04-10 00:00:00,"R$13.299,05",2025NL0005723,
470,MANUTENÇÃO,24001.025911/2025-64,SERV IMAGEM,811416.0,2025-03-01,468/2019,2025-06-10 00:00:00.000000000,435,658.0,2156,FAE,339039,Produção,81941,,IMPRESSO,,,,,,
471,MANUTENÇÃO,24001.025898/2025-43,GELAR,37375.0,2025-03-01,792/2020,2025-07-23 00:00:00.000000000,435,658.0,2156,FAE,339039,Não Informado,81548,2025NE000613,,,,,,,
472,MANUTENÇÃO,24001.026007/2025-76,AMED,3900.0,2025-03-01,190/2025,2026-03-07 00:00:00.000000000,TESOURO,655.0,2156,TESOURO,339039,T/500,T/500,2025NE000567,"R$195,00",XXX,XXX,2025-04-10 00:00:00,"R$3.705,00",2025NL000722,
473,SEDEP,24001.021276/2025-46,GDI,90485433.0,2025-03-01,Não Informado,,TESOURO,,Não Informado,Não Informado,Não Informado,Não Informado,,2025NE000517,GDI,GDI,GDI,2025-03-31 00:00:00,"R$901.273,94",2025NL000604,
474,INFORMATICA,24001.026919/2025-48,OPENBASE,14973.0,2025-03-01,1645/2024,,567,62.0,3078,FAE,339040,PRODUÇÃO,83329,2025NE000771,"R$71,87",XXX,XXX,2025-05-16 00:00:00,"R$1.425,43",2025NL001048,
475,TRANSPORTE,24001.021189/2025-99,TICKET,970279.0,2025-03-01,380/2021,,435,661.0,2229,FAE,339039,PRODUÇÃO,82910,2025NE000618,"R$22,91",XXX,XXX,2025-05-13 00:00:00,"R$9.679,88",2025NL000984,
476,TRANSPORTE,24001.025224/2025-49,PRIME,9364771.0,2025-03-01,775/2024,,483,669.0,2229,FAE,339039,Produção,81878,2025NE000685,"R$ 695,52","R$ 1.278,90",XXX,2025-04-24 00:00:00,"R$ 91.673,29",2025NL000830,
477,MANUTENÇÃO,24001.026732/2025-44,ASSISTEC,35476.0,2025-03-01,854/2019,2025-08-14 00:00:00.000000000,TESOURO,655.0,2156,TESOURO,339039,T/500,T/500,,,,,,,,
478,MANUTENÇÃO,24001.026673/2025-12,K G CONSTRUÇÕES,5235745.0,2025-03-01,1400/2024,,345,663.0,2166,FAE,339039,Produção,82297,2025NE000616,,,,,,,
479,MANUTENÇÃO,24001.026529/2025-78,EXCIMER,28507.0,2025-03-01,566/2022,2025-07-28 00:00:00.000000000,435,658.0,2156,FAE,339039,Não Informado,81584,2025NE000614,,,,,,,
480,MANUTENÇÃO,24001.026195/2025-32,IMX,7204.0,2025-03-01,69/2025,,435,658.0,2156,FAE,339039,Não Informado,81575,2025NE000620,,,,,,,
481,MANUTENÇÃO,24001.026674/2025-59,K G CONSTRUÇÕES,8908671.0,2025-03-01,1400/2025,,435,663.0,2166,FAE,339039,Não Informado,81407,2025NE000615,,,,,,,
482,EXAMES,24001.025797/2025-72,DNA,14580.0,2025-02-01,377/2024,,435,664.0,2192,FAE,339039,Não Informado,81715,2025NE000629,,,,,,,
483,CME,24001.009107/2025-38,EMBRAESTER,429098.0,,Não Informado,,,,Não Informado,Não Informado,Não Informado,Não Informado,,,,,,,,,
484,CME, 24001.008935/2025-59,EMBRAESTER,445762.0,,Não Informado,,,,Não Informado,Não Informado,Não Informado,Não Informado,,,,,,,,,
485,CME,24001.009552/2025-06,EMBRAESTER,2391284.0,,Não Informado,,NP323,,Não Informado,Não Informado,Não Informado,Produção,82146,,IMPRESSO,,,,,,
486,CMMH,24001.025870/2025-14,INJEX INDUSTRIAS,5040.0,2025-04-01,OC,2025-06-12 00:00:00.000000000,567,764.0,1895,SUS,339030,Não Informado,,,,,,,,,
487,CMMH,24001.026042/2025-95,CIRURTECH COMERCIO,34475.0,2025-04-01,OC,2025-08-28 00:00:00.000000000,428,739.0,1895,TESOURO,339030,T/500,T/500,2025NE000583,"R$ 4,13",XXX,XXX,2025-05-27 00:00:00,"R$ 340,62",2025NL001116,
488,NUTRIÇÃO,24001.026023/2025-69,MARIA ADAGLENE,11214.0,2025-04-01,1551/2024,2025-11-13 00:00:00.000000000,435,741.0,1895,FAE,339030,Não Informado,,,,,,,,,
